State,Year,Total_Cost_Attendence_On,Total_Cost_Attendence_Off,Tuition_Cost_IN,Tuition_Cost_OUT,Associate_degree_recipients,Undergraduate_certificate_recipients,Master_degree_recipients,Doctoral_and_first_professional_degree_recipients,Graduate_certificate_recipients
ND,2012,18197,18127,6842,5983,2386,1221,1676,465,99
SD,2013,21569,21521,9178,5676,2696,1178,1336,395,125
SD,2000,11689,11917,4431,4223,1754,907,983,259,51
SD,2003,13566,13934,5654,4752,2508,1028,1116,295,65
SD,2004,14073,14297,5996,4771,2225,1004,1217,299,54
SD,2005,14769,14699,6107,4850,2315,937,1117,286,58
SD,2006,16053,15837,6413,4965,2268,1111,1191,274,57
SD,2007,16822,14843,6840,4992,2045,1139,1243,333,29
SD,2008,17860,16402,7436,5031,1964,1039,1242,284,78
SD,2009,18294,15679,7684,4976,1952,1267,1309,307,90
SD,2010,19003,16783,7803,5211,2601,1366,1427,300,73
SD,2011,20039,19073,8531,5392,2699,1175,1467,353,84
SD,2012,20965,21078,9129,5641,2610,1146,1512,335,129
MD,2013,31814,25863,11742,33245,15758,12069,18411,2908,2133
MD,2000,18365,15617,6830,23017,7431,5549,10872,1992,629
MD,2003,19819,17216,7384,25030,9023,7191,12999,2203,1046
MD,2004,21012,18149,7849,26003,9834,7889,13163,2308,1120
MD,2005,22159,18465,8484,26690,10131,7964,13438,2486,1198
MD,2006,23151,19024,8650,26804,10421,8618,14169,2510,1348
MD,2007,23888,19869,9034,27218,10964,8308,14662,2564,1447
MD,2008,24990,20897,9386,27996,11305,9860,15190,2502,1409
MD,2009,25810,21058,9445,29065,12446,12000,16019,2665,1587
MD,2010,26926,21729,9956,30288,14006,13767,16981,2652,2071
MD,2011,28372,23028,10695,31972,15156,13412,17833,2822,2136
MD,2012,29206,25271,11059,32787,15387,11403,18444,3043,2355
