Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay
143,Nutrition,Master's,50700,67900
144,Anthropology,Master's,42300,67700
145,English Language & Literature,Master's,42600,67700
146,Sports Management,Master's,43800,67700
147,Secondary English Teacher Education,Master's,41800,67100
148,Education,Master's,46200,66500
149,Secondary Education,Master's,44000,66300
150,Interior Design,Master's,45100,65900
151,Higher Education Administration,Master's,43600,65100
152,Mental Health,Master's,43700,64500
153,Music Performance,Master's,41200,64100
154,Teaching,Master's,44300,63500
155,Educational Psychology,Master's,46600,63000
156,Criminal Justice,Master's,41500,62900
157,Rehabilitation Counseling,Master's,43200,62900
158,Applied Behavior Analysis,Master's,51300,62500
159,Library & Information Science,Master's,47500,61800
160,Clinical Social Work (CSW),Master's,46500,61300
161,Counseling Psychology,Master's,43000,61300
162,Nutrition & Dietetics,Master's,48600,61100
163,Fine Arts,Master's,40500,61000
164,Gerontology,Master's,46000,60600
165,Curriculum & Instruction,Master's,43800,60400
166,Pastoral Ministry,Master's,47000,60400
167,Clinical Psychology,Master's,44400,60000
168,Marriage & Family Therapy,Master's,43000,60000
169,Special Education,Master's,44500,60000
170,School Counseling,Master's,41900,59900
171,Exercise Science,Master's,41600,59400
172,Social Work (SW),Master's,43500,59400
173,Theology,Master's,45300,58700
174,Counseling,Master's,41500,58300
175,Library Science,Master's,42200,58300
176,Music,Master's,44300,58200
177,Exercise Physiology,Master's,43600,56000
178,Early Childhood Special Education,Master's,42600,55100
179,Elementary Education,Master's,41200,55100
180,Teaching English as a Second Language (ESL),Master's,40300,55000
181,Counselor Education & Counseling Psychology,Master's,40400,54900
182,Studio Art,Master's,38800,54800
183,Professional Counseling,Master's,39400,54200
184,Reading & Literacy,Master's,40000,54100
185,Divinity,Master's,44000,53800
186,Mental Health Counseling,Master's,40200,51800
187,Community Counseling,Master's,40400,51600
188,Early Childhood Education,Master's,38100,48400
189,Human Services (HS),Master's,38000,48200
190,Major,Degree Type,Early Career Pay,Mid-Career Pay
191,Nurse Anesthesia,Master's,140000,156000
192,Computer Science (CS) & Engineering,Master's,95900,134000
193,Operations Research,Master's,80800,130000
194,Electrical & Electronics Engineering (EEE),Master's,79500,129000
195,Taxation,Master's,61100,129000
196,Electrical Engineering (EE),Master's,79900,127000
197,Technology Management,Master's,65900,127000
198,Chemical Engineering,Master's,73100,125000
199,Computer Engineering (CE),Master's,86700,125000
200,Computer Science (CS),Master's,84800,125000
201,Electrical & Computer Engineering (ECE),Master's,82000,125000
202,Biomedical Engineering (BME),Master's,70500,122000
203,Applied Mathematics,Master's,67800,121000
204,Finance,Master's,63900,121000
205,Nuclear Engineering,Master's,74000,121000
206,Telecommunications Engineering,Master's,74200,121000
207,Engineering,Master's,72300,120000
208,Industrial Engineering (IE),Master's,70500,119000
209,Software Engineering,Master's,83900,119000
210,Aerospace Engineering,Master's,76300,118000
211,Industrial & Systems Engineering,Master's,69800,118000
212,Engineering Management,Master's,73600,116000
213,Materials Science & Engineering,Master's,71500,116000
214,Mechanical Engineering (ME),Master's,72900,116000
215,Economics,Master's,64900,115000
216,Physics,Master's,67700,115000
217,Systems Engineering,Master's,76700,115000
218,Information Systems (IS),Master's,67800,113000
219,Computer Information Systems (CIS),Master's,70700,110000
220,Information Technology Management,Master's,71100,110000
221,International Business,Master's,59200,110000
222,Statistics,Master's,71500,110000
223,Human Computer Interaction,Master's,81900,109000
224,Geotechnical Engineering,Master's,60800,108000
225,Information Security,Master's,74100,108000
226,Management Information Systems (MIS),Master's,70200,108000
227,Manufacturing Engineering,Master's,67100,108000
228,Structural Engineering (SE),Master's,62400,107000
229,Information Assurance,Master's,70100,105000
230,Organizational Development,Master's,55800,105000
231,International Relations,Master's,53300,104000
232,Physician Assistant Studies,Master's,88400,104000
233,Civil Engineering (CE),Master's,60900,103000
234,Construction Management,Master's,61500,103000
235,Marketing & Management,Master's,52500,103000
236,Psychiatric Mental Health Nurse Practitioner Studies,Master's,92800,103000
237,Civil & Environmental Engineering,Master's,61300,102000
238,Information Technology (IT),Master's,66000,102000
239,Adult Nurse Practitioner Studies,Master's,89900,101000
240,Cybersecurity,Master's,67800,101000
241,Integrated Marketing Communications,Master's,49600,101000
242,Marketing,Master's,54100,101000
243,Project Management,Master's,64600,100000
244,Supply Chain Management,Master's,63800,100000
245,Acute Care Nurse Practitioner (ACNP) Studies,Master's,93200,99900
246,Design,Master's,65300,99900
247,International Studies,Master's,50300,99900
248,Family Nurse Practitioner (FNP) Studies,Master's,89200,99500
249,Business & Marketing,Master's,58000,99000
250,Business Administration,Master's,57700,98500
251,Accounting & Taxation,Master's,57500,98400
252,Environmental Engineering,Master's,60200,98400
253,Information Security & Assurance,Master's,71300,98300
254,Chemistry,Master's,54700,98000
255,Mathematics,Master's,62300,97800
256,Nurse Midwifery,Master's,82100,97500
257,Biotechnology,Master's,57200,96900
258,Food Science,Master's,56900,96300
259,Operations Management (OM),Master's,64400,95700
260,Accounting,Master's,56900,94300
261,General Business,Master's,55600,93500
262,Microbiology,Master's,48700,93500
263,Pediatric Nurse Practitioner Studies,Master's,84500,93100
264,Organizational Psychology,Master's,55800,92600
265,Business Management,Master's,56800,92200
266,Environmental Management,Master's,55500,92200
267,Food Science & Technology,Master's,56400,91800
268,Master of Science in Nursing,Master's,81200,91800
269,Women's Health Nurse Practitioner Studies,Master's,82500,91600
270,Industrial Psychology,Master's,54600,91200
271,Accounting & Finance,Master's,56100,90900
272,Management,Master's,54300,90600
273,Health Care Administration,Master's,57100,89900
274,Geology,Master's,53600,89700
275,Industrial Design (ID),Master's,58100,89500
276,Nursing,Master's,81700,88800
277,Health Policy & Management,Master's,60700,87700
278,Marketing & Communications,Master's,48600,87700
279,Occupational Health and Safety,Master's,61500,87100
280,Epidemiology,Master's,55500,86700
281,Urban & Regional Planning,Master's,50600,86700
282,Physical Therapy,Master's,72800,85800
283,Digital Media,Master's,50100,85600
284,Leadership,Master's,51900,85400
285,Accounting & Business,Master's,52300,85200
286,Informatics,Master's,71200,85200
287,Linguistics,Master's,52300,85100
288,Public Policy Analysis,Master's,54500,85100
289,Organizational Leadership,Master's,52400,85000
290,Environmental Science,Master's,49500,84700
291,Human Resources Management (HRM),Master's,50100,83500
292,Biology,Master's,47800,82800
293,Speech-Language Pathology,Master's,62000,82300
294,Management & Leadership,Master's,58600,81900
295,Biochemistry (BCH),Master's,54400,81800
296,Occupational Therapy (OT),Master's,64300,81500
297,Human Resources (HR),Master's,50700,81300
298,Public Health (PH),Master's,52400,81100
299,Human Resources Development,Master's,54100,80900
300,Communication,Master's,48200,80700
301,Mass Communication,Master's,45500,80700
302,Architecture,Master's,46300,80600
303,Geographic Information Systems (GIS),Master's,51700,80500
304,Public Relations & Communication,Master's,47100,80000
305,Journalism & Mass Communication,Master's,43800,79500
306,Communication Sciences & Disorders,Master's,62300,79400
307,Organizational Management,Master's,51900,79400
308,Health Care Management,Master's,59700,79100
309,Speech Pathology,Master's,65600,78600
310,Instructional Design & Technology,Master's,59700,78500
311,Nursing Education,Master's,65900,78000
312,Instructional Design,Master's,52800,77500
313,Communicative Disorders,Master's,63500,77300
314,Public Administration,Master's,47200,77000
315,Instructional Technology,Master's,55500,75900
316,Landscape Architecture,Master's,48100,75700
317,Journalism,Master's,46100,75200
318,Social Science,Master's,52400,75100
319,Educational Administration,Master's,53900,74400
320,"Film, Video & Media Studies",Master's,46000,73700
321,Health Administration,Master's,51800,73100
322,Graphic Design,Master's,46600,72500
323,Geography,Master's,48600,72300
324,English Literature,Master's,43200,72100
325,Educational Leadership,Master's,52700,72000
326,Educational Technology (EDT),Master's,52900,71200
327,Criminal Justice Administration,Master's,42000,70400
328,Nonprofit Management,Master's,44900,70300
329,Adult Education & Training,Master's,47100,70000
330,Creative Writing,Master's,43800,70000
331,Art History,Master's,41300,69900
332,School Psychology,Master's,53400,68000
333,Nutrition,Master's,50700,67900
334,Anthropology,Master's,42300,67700
335,English Language & Literature,Master's,42600,67700
336,Sports Management,Master's,43800,67700
1,Strategy,MBA,96200,149000
2,General & Strategic Management,MBA,85200,146000
3,Entrepreneurship,MBA,70300,139000
4,Corporate Finance,MBA,78100,138000
5,Finance & Economics,MBA,66700,137000
6,Finance,MBA,69400,130000
7,Business & Marketing,MBA,61700,126000
8,Marketing & Management,MBA,63900,126000
9,Information Technology (IT),MBA,72400,123000
10,Marketing,MBA,61700,123000
11,Marketing Management,MBA,66200,122000
12,Strategic Management,MBA,69200,122000
13,International Business,MBA,62600,121000
14,Operations Management (OM),MBA,75500,121000
15,Management Information Systems (MIS),MBA,64600,118000
16,Business Management & Marketing,MBA,66400,117000
17,Global Business Management,MBA,66600,117000
18,Information Technology Management,MBA,68600,116000
19,Accounting & Finance,MBA,67700,115000
20,Financial Management,MBA,61700,115000
21,General Business,MBA,61800,115000
22,Operations & Supply Chain Management,MBA,72700,115000
23,Information Systems (IS),MBA,70100,112000
24,Supply Chain Management,MBA,71400,108000
25,Business Management,MBA,59500,107000
26,Management,MBA,57000,104000
27,Leadership,MBA,57500,102000
28,Business Administration,MBA,58100,101000
29,Organizational Leadership,MBA,58200,97200
30,Health Care Administration,MBA,59900,95900
31,Business & Healthcare Management,MBA,65200,95300
32,Business Management & Administration,MBA,57300,94100
33,Project Management,MBA,61200,94000
34,Health Care Management,MBA,51200,92500
35,Accounting,MBA,54000,87900
36,Accounting & Business,MBA,54900,81900
37,Human Resources Management (HRM),MBA,49600,81100
38,Human Resources (HR),MBA,48400,79200
1,Chemical Engineering,PhD,96100,146000
1,Organic Chemistry,PhD,83400,146000
1,Computer Science (CS),PhD,118000,145000
1,Electrical Engineering (EE),PhD,103000,144000
1,Pharmacology,PhD,75400,141000
1,Physical Chemistry,PhD,73600,138000
1,Engineering,PhD,93600,137000
1,Physics,PhD,93700,135000
1,Biomedical Engineering (BME),PhD,88100,133000
1,Statistics,PhD,105000,131000
1,Aerospace Engineering,PhD,94900,128000
1,Materials Science & Engineering,PhD,88900,128000
1,Pharmacy,PhD,108000,126000
1,Analytical Chemistry,PhD,77400,121000
1,Economics,PhD,101000,121000
1,Biochemistry & Molecular Biology,PhD,80200,116000
1,Political Science (PolySci),PhD,66200,112000
1,Immunology,PhD,83600,111000
1,Neuroscience,PhD,72100,109000
1,Cell & Molecular Biology,PhD,76900,106000
1,Microbiology,PhD,73500,105000
1,Mathematics,PhD,85700,101000
1,Epidemiology,PhD,78700,97300
1,Clinical Psychology,PhD,70300,96100
1,Educational Leadership,PhD,72500,86300
1,Counseling Psychology,PhD,61700,81500
